cell_id:ID(GridCell),city_id,population:float,type,type_source,green_cover_pct:float,elevation_m:float,dist_to_boundary_m:float,centroid_lat:float,centroid_lon:float
ghsl_5929_cell_04481,ghsl_5929,1219.517756043002,Industrial,land_use,35.2,12.4,4272.9,35.40411036607205,139.33930218151156
ghsl_5929_cell_04482,ghsl_5929,3509.50124258548,Industrial,land_use,3.7,13.3,5153.2,35.40411036607205,139.35062919871936
ghsl_5929_cell_04483,ghsl_5929,2664.299308657646,Industrial,land_use,16.7,13.2,6080.3,35.40411036607205,139.36195621592714
ghsl_5929_cell_04484,ghsl_5929,3632.828193554189,Industrial,land_use,8.3,13.9,7035.8,35.40411036607205,139.37328323313494
ghsl_5929_cell_04485,ghsl_5929,4469.624822020531,Industrial,land_use,13.0,13.5,8009.4,35.404110366072054,139.3846102503427
ghsl_5929_cell_04486,ghsl_5929,3732.279394507408,Industrial,land_use,12.3,25.2,8995.3,35.40411036607205,139.39593726755052
ghsl_5929_cell_04487,ghsl_5929,2521.903614014387,Residential,heuristic,16.1,15.1,9989.8,35.40411036607205,139.40726428475827
ghsl_5929_cell_04488,ghsl_5929,4376.247605558485,Civic,land_use,10.4,43.1,10178.9,35.40411036607205,139.41859130196605
ghsl_5929_cell_04489,ghsl_5929,3302.5938279107213,Residential,heuristic,22.5,45.3,10178.9,35.40411036607205,139.42991831917385
ghsl_5929_cell_04490,ghsl_5929,5420.560291647911,Industrial,land_use,10.6,35.5,10179.1,35.40411036607205,139.44124533638163
ghsl_5929_cell_04491,ghsl_5929,4835.672303318977,Commercial,land_use,1.5,42.8,10179.3,35.404110366072054,139.4525723535894
ghsl_5929_cell_04492,ghsl_5929,8052.8059368133545,Civic,land_use,9.0,35.3,10179.7,35.40411036607204,139.46389937079718
ghsl_5929_cell_04493,ghsl_5929,3874.405906651169,Civic,land_use,25.8,22.8,10182.8,35.40411036607205,139.47522638800493
ghsl_5929_cell_04494,ghsl_5929,5334.976034402847,Commercial,land_use,16.1,29.8,10258.5,35.40411036607205,139.48655340521273
ghsl_5929_cell_04495,ghsl_5929,8350.690357591957,Civic,land_use,12.3,42.4,10435.7,35.40411036607205,139.49788042242054
ghsl_5929_cell_04496,ghsl_5929,8271.9071046561,Residential,land_use,4.3,38.9,10709.3,35.40411036607205,139.50920743962834
ghsl_5929_cell_04497,ghsl_5929,11513.160280227661,Residential,land_use,6.0,51.7,11072.3,35.404110366072054,139.5205344568361
ghsl_5929_cell_04498,ghsl_5929,11943.738103866577,Residential,land_use,3.6,23.6,10646.7,35.40411036607205,139.5318614740439
ghsl_5929_cell_04499,ghsl_5929,7755.831934347749,Industrial,land_use,3.6,31.8,9628.3,35.40411036607205,139.54318849125164
ghsl_5929_cell_04500,ghsl_5929,6696.424275651574,Residential,land_use,12.5,47.3,8612.6,35.40411036607205,139.55451550845945
ghsl_5929_cell_04501,ghsl_5929,11743.672891616821,Residential,land_use,3.6,37.9,7600.3,35.404110366072054,139.56584252566722
ghsl_5929_cell_04502,ghsl_5929,14908.756088256836,Civic,land_use,3.6,67.5,6593.3,35.40411036607204,139.57716954287497
ghsl_5929_cell_04503,ghsl_5929,14136.473400115967,Civic,land_use,0.7,24.8,5594.2,35.40411036607205,139.58849656008277
ghsl_5929_cell_04504,ghsl_5929,12995.54479521513,Residential,land_use,30.1,26.9,4608.4,35.40411036607205,139.59982357729052
ghsl_5929_cell_04505,ghsl_5929,11427.421945646405,Residential,land_use,3.6,53.4,3646.5,35.404110366072054,139.61115059449833
ghsl_5929_cell_04506,ghsl_5929,7840.124351501465,Industrial,land_use,0.2,5.6,2733.9,35.40411036607205,139.6224776117061
ghsl_5929_cell_04507,ghsl_5929,3090.305928453803,Industrial,land_use,0.0,3.8,1926.8,35.40411036607205,139.6338046289139
ghsl_5929_cell_04508,ghsl_5929,2434.2879661880434,Industrial,land_use,0.0,4.2,1156.0,35.40411036607204,139.64513164612168
ghsl_5929_cell_04509,ghsl_5929,264.59858353435993,Residential,heuristic,0.0,0.0,492.4,35.404110366072054,139.65645866332943
ghsl_5929_cell_04510,ghsl_5929,1384.7331746853888,Industrial,land_use,0.0,2.1,484.9,35.40411036607205,139.6677856805372
ghsl_5929_cell_04511,ghsl_5929,4888.670781493187,Industrial,land_use,0.0,7.9,1060.8,35.40411036607205,139.67911269774498
ghsl_5929_cell_04512,ghsl_5929,381.939840041101,Residential,heuristic,0.0,0.0,385.3,35.40411036607205,139.6904397149528
ghsl_5929_cell_04513,ghsl_5929,3082.3434913530946,Civic,land_use,10.4,215.3,385.9,35.395370000409415,139.1826398087692
ghsl_5929_cell_04514,ghsl_5929,3269.5416916958056,Residential,heuristic,2.5,190.0,484.9,35.39537000040942,139.19396606012685
ghsl_5929_cell_04515,ghsl_5929,2490.549568339251,Residential,heuristic,4.7,168.3,385.9,35.39537000040941,139.20529231148456
ghsl_5929_cell_04516,ghsl_5929,10.821497602388263,Residential,heuristic,0.0,256.1,385.9,35.395370000409415,139.26192356827292
ghsl_5929_cell_04517,ghsl_5929,176.26361031085253,Residential,heuristic,17.0,197.5,492.6,35.39537000040942,139.2732498196306
ghsl_5929_cell_04518,ghsl_5929,2943.5986269265413,Industrial,land_use,0.8,52.4,1157.4,35.395370000409415,139.28457607098827
ghsl_5929_cell_04519,ghsl_5929,5090.057710409164,Industrial,land_use,3.6,36.9,1928.9,35.39537000040942,139.29590232234594
ghsl_5929_cell_04520,ghsl_5929,7451.435883998871,Industrial,land_use,2.3,40.7,2700.3,35.39537000040941,139.3072285737036
ghsl_5929_cell_04521,ghsl_5929,6304.937103271484,Industrial,land_use,4.9,25.3,3471.6,35.39537000040942,139.31855482506128
ghsl_5929_cell_04522,ghsl_5929,3377.8880091449246,Industrial,land_use,15.1,27.0,4242.8,35.395370000409415,139.32988107641899
ghsl_5929_cell_04523,ghsl_5929,1350.1588964550756,Green,land_use,58.1,10.2,5013.9,35.39537000040942,139.34120732777663
ghsl_5929_cell_04524,ghsl_5929,1402.9711351105943,Green,land_use,51.9,13.4,5814.1,35.395370000409415,139.3525335791343
ghsl_5929_cell_04525,ghsl_5929,1217.997265019454,Commercial,land_use,34.0,11.2,6676.4,35.395370000409415,139.363859830492
ghsl_5929_cell_04526,ghsl_5929,1869.9310998204164,Industrial,land_use,7.4,7.1,7580.4,35.395370000409415,139.37518608184962
ghsl_5929_cell_04527,ghsl_5929,5005.823995731771,Industrial,land_use,6.0,12.9,8512.7,35.39537000040942,139.38651233320735
